xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDPxyzsp_pop_totl,xyzDPxyzny_gnp_pcap_cd,xyzDPxyzny_gdp_mktp_kd_zg
ABW,1960,.054608,,
ABW,1961,.055811,,
ABW,1962,.056682,,
ABW,1963,.057475,,
ABW,1964,.058178,,
ABW,1965,.058782,,
ABW,1966,.059291,,
ABW,1967,.059522,,
ABW,1968,.059471,,
ABW,1969,.05933,,
ABW,1970,.059106,,
ABW,1971,.058816,,
ABW,1972,.058855,,
ABW,1973,.059365,,
ABW,1974,.060028,,
ABW,1975,.060715,,
ABW,1976,.061193,,
ABW,1977,.061465,,
ABW,1978,.061738,,
ABW,1979,.062006,,
ABW,1980,.062267,,
ABW,1981,.062614,,
ABW,1982,.063116,,
ABW,1983,.063683,,
ABW,1984,.064174,,
ABW,1985,.064478,,
ABW,1986,.064553,,
ABW,1987,.06445,,16.07843
ABW,1988,.064332,9840,18.64865
ABW,1989,.064596,11110,12.12984
ABW,1990,.065712,11570,3.961402
ABW,1991,.067864,12560,7.962872
ABW,1992,.070192,13610,5.882354
ABW,1993,.07236,14640,7.307693
ABW,1994,.07471,16060,8.203901
ABW,1995,.07705,16930,2.547144
ABW,1996,.079417,17150,1.185789
ABW,1997,.081858,17980,7.046875
ABW,1998,.084355,18230,1.991984
ABW,1999,.086867,18320,1.238042
ABW,2000,.089101,20390,7.622921
ABW,2001,.090691,20510,4.182002
ABW,2002,.091781,19290,-.9449535
ABW,2003,.092701,21120,1.110505
ABW,2004,.09354,24010,7.293728
ABW,2005,.094483,20380,-.3831377
ABW,2006,.095606,24870,1.127411
ABW,2007,.096787,23390,3.089544
ABW,2008,.097996,27580,1.835755
ABW,2009,.099212,24930,-11.67774
ABW,2010,.100341,23390,-2.733457
ABW,2011,.101288,23400,3.369237
ABW,2012,.102112,24440,-1.0408
ABW,2013,.10288,25500,6.431483
ABW,2014,.103594,25520,-1.586575
ABW,2015,.104257,25320,-.6236259
ABW,2016,.104874,26200,1.719625
ABW,2017,.105439,27960,7.048533
ABW,2018,.105962,28910,2.38173
ABW,2019,.106442,29450,-2.302836
ABW,2020,.106585,23340,-23.98258
ABW,2021,.106537,30180,27.63936
ABW,2022,.106445,33410,10.45832
ABW,2023,.106277,,
AFE,1960,130.69258,,
AFE,1961,134.16924,,.460106
AFE,1962,137.83559,177.4897,7.868012
AFE,1963,141.63055,186.3922,5.6164
AFE,1964,145.606,194.1365,4.668135
AFE,1965,149.74235,207.7897,5.138989
AFE,1966,153.95552,220.3022,4.829845
AFE,1967,158.31323,234.8349,5.374481
AFE,1968,162.87517,248.4077,4.150024
AFE,1969,167.59616,263.2235,5.079188
AFE,1970,172.47577,262.3296,1.137276
AFE,1971,177.50319,281.1909,5.473911
AFE,1972,182.59909,298.9118,2.78955
AFE,1973,187.90166,352.3114,4.577528
AFE,1974,193.51296,433.2771,5.468562
AFE,1975,199.2843,492.3617,1.425173
AFE,1976,205.20267,487.0859,2.375269
AFE,1977,211.12091,482.2327,1.141532
AFE,1978,217.48142,515.6313,1.516791
AFE,1979,224.31598,600.1346,2.916157
AFE,1980,230.96786,730.9202,5.457356
AFE,1981,237.93746,811.9633,4.016984
AFE,1982,245.38672,775.6345,.3195856
AFE,1983,252.77973,712.4792,.0226385
AFE,1984,260.20915,683.1913,3.366596
AFE,1985,267.93812,616.1368,-.1155399
AFE,1986,276.03592,601.3854,2.260733
AFE,1987,284.49039,654.1192,3.964516
AFE,1988,292.79519,741.9056,4.272254
AFE,1989,301.12488,771.6095,2.697841
AFE,1990,309.89066,779.4396,.1820309
AFE,1991,318.54408,815.5118,-.0927089
AFE,1992,326.93352,786.599,-2.355109
AFE,1993,335.62514,743.3609,-.5915811
AFE,1994,344.41836,697.5428,1.899017
AFE,1995,353.4666,730.1895,4.283193
AFE,1996,362.9858,746.7112,5.454772
AFE,1997,372.35223,750.2393,3.838778
AFE,1998,381.7156,692.7843,1.758375
AFE,1999,391.48623,672.162,2.655959
AFE,2000,401.60059,663.9797,3.219803
AFE,2001,412.00189,636.4902,3.510147
AFE,2002,422.74112,621.6407,3.841646
AFE,2003,433.80748,672.4056,2.963405
AFE,2004,445.28156,818.3884,5.557364
AFE,2005,457.15384,1024.17,6.164836
AFE,2006,469.50852,1152.36,6.577594
AFE,2007,482.40643,1261.746,6.646594
AFE,2008,495.7489,1345.281,4.371098
AFE,2009,509.41048,1360.922,.8803313
AFE,2010,523.45966,1427.145,5.233778
AFE,2011,537.79295,1550.849,4.06902
AFE,2012,552.53065,1653.734,1.75621
AFE,2013,567.89215,1677.843,4.250345
AFE,2014,583.6511,1653.207,3.983182
AFE,2015,600.00842,1539.91,3.011572
AFE,2016,616.37761,1405.621,2.183581
AFE,2017,632.74657,1365.709,2.6514
AFE,2018,649.75715,1432.328,2.681718
AFE,2019,667.24299,1492.234,2.189259
AFE,2020,685.11298,1395.329,-2.780379
AFE,2021,702.97711,1467.95,4.49738
AFE,2022,720.85913,1551.115,3.554422
AFE,2023,739.10831,1601.589,2.62231
AFG,1960,8.622466,,
AFG,1961,8.79014,,
AFG,1962,8.969047,,
AFG,1963,9.157465,,
AFG,1964,9.355514,,
AFG,1965,9.565147,,
AFG,1966,9.783147,,
AFG,1967,10.01003,,
AFG,1968,10.24778,,
AFG,1969,10.494489,,
AFG,1970,10.752971,,
AFG,1971,11.015857,,
AFG,1972,11.286753,,
AFG,1973,11.575305,,
AFG,1974,11.869879,,
AFG,1975,12.157386,,
AFG,1976,12.425267,,
AFG,1977,12.687301,,
AFG,1978,12.938862,,
AFG,1979,12.986369,,
AFG,1980,12.486631,,
AFG,1981,11.155195,,
AFG,1982,10.088289,,
AFG,1983,9.951449,,
AFG,1984,10.243686,,
AFG,1985,10.512221,,
AFG,1986,10.448442,,
AFG,1987,10.322758,,
AFG,1988,10.38346,,
AFG,1989,10.673168,,
AFG,1990,10.694796,,
AFG,1991,10.745167,,
AFG,1992,12.057433,,
AFG,1993,14.00376,,
AFG,1994,15.455555,,
AFG,1995,16.418912,,
AFG,1996,17.106595,,
AFG,1997,17.788819,,
AFG,1998,18.493132,,
AFG,1999,19.262847,,
AFG,2000,19.542982,,
AFG,2001,19.688632,,-9.431974
AFG,2002,21.000256,180,28.6
AFG,2003,22.64513,190,8.832278
AFG,2004,23.553551,210,1.414118
AFG,2005,24.411191,250,11.22971
AFG,2006,25.442944,270,5.357403
AFG,2007,25.903301,330,13.82632
AFG,2008,26.427199,370,3.924984
AFG,2009,27.385307,460,21.39053
AFG,2010,28.189672,530,14.36244
AFG,2011,29.249157,550,.4263548
AFG,2012,30.466479,640,12.75229
AFG,2013,31.541209,670,5.600745
AFG,2014,32.71621,640,2.724543
AFG,2015,33.753499,600,1.451315
AFG,2016,34.636207,560,2.260314
AFG,2017,35.643418,530,2.647003
AFG,2018,36.686784,520,1.189228
AFG,2019,37.769499,520,3.911603
AFG,2020,38.97223,490,-2.351101
AFG,2021,40.099462,380,-20.73884
AFG,2022,41.128771,360,-6.240172
AFG,2023,42.239854,,
AFW,1960,97.25629,,
AFW,1961,99.314028,,1.873455
AFW,1962,101.44503,,3.707643
AFW,1963,103.66752,,7.145784
AFW,1964,105.95998,,5.406404
AFW,1965,108.3362,,4.102491
AFW,1966,110.79849,,-1.537591
AFW,1967,113.31995,,-9.101463
AFW,1968,115.92172,,1.563982
AFW,1969,118.61574,,15.2665
AFW,1970,121.4248,,17.56641
AFW,1971,124.33604,,10.58262
AFW,1972,127.36404,,3.175452
AFW,1973,130.56311,,4.024685
AFW,1974,133.95389,,10.055
AFW,1975,137.54861,,-2.157732
AFW,1976,141.2584,,8.471909
AFW,1977,145.12285,,4.586747
AFW,1978,149.20666,,-1.950629
AFW,1979,153.45967,,5.098038
AFW,1980,157.82561,,1.918576
AFW,1981,162.32331,,-6.794995
AFW,1982,167.02338,,-3.298625
AFW,1983,171.56664,,-6.363636
AFW,1984,176.0545,,.5082161
AFW,1985,180.81731,,5.399324
AFW,1986,185.72024,,1.360113
AFW,1987,190.75995,,1.404583
AFW,1988,195.96972,,4.725373
AFW,1989,201.3922,,1.715251
AFW,1990,206.73902,,5.773828
AFW,1991,212.17289,,1.009365
AFW,1992,217.9661,,2.483663
AFW,1993,223.78877,,-1.317609
AFW,1994,229.67577,,-.3234808
AFW,1995,235.86148,,1.919113
AFW,1996,242.20026,,4.649809
AFW,1997,248.7131,,4.447027
AFW,1998,255.48292,,3.609312
AFW,1999,262.39703,,1.545024
AFW,2000,269.6119,,3.85976
AFW,2001,277.1601,,5.209094
AFW,2002,284.95232,,9.927427
AFW,2003,292.97795,,5.532967
AFW,2004,301.26525,,7.992699
AFW,2005,309.82483,,5.82894
AFW,2006,318.60148,,5.374762
AFW,2007,327.61284,,5.522719
AFW,2008,336.89384,1435.481,6.281466
AFW,2009,346.47522,1502.583,6.282103
AFW,2010,356.33776,1559.826,6.970601
AFW,2011,366.4892,1595.464,4.849289
AFW,2012,376.798,1767.481,5.135432
AFW,2013,387.20455,1928.862,6.10661
AFW,2014,397.85551,2100.908,5.925583
AFW,2015,408.69038,2012.262,2.813979
AFW,2016,419.77838,1785.045,.1414886
AFW,2017,431.1387,1600.462,2.284961
AFW,2018,442.64682,1627.341,2.842645
AFW,2019,454.30606,1698.107,3.222028
AFW,2020,466.1891,1696.192,-1.004417
AFW,2021,478.18591,1748.719,3.994854
AFW,2022,490.33087,1785.122,3.784486
AFW,2023,502.78951,1702.075,3.342776
AGO,1960,5.357195,,
AGO,1961,5.441333,,
AGO,1962,5.5214,,
AGO,1963,5.599827,,
AGO,1964,5.673199,,
AGO,1965,5.736582,,
AGO,1966,5.787044,,
AGO,1967,5.827503,,
AGO,1968,5.868203,,
AGO,1969,5.928386,,
AGO,1970,6.0297,,
AGO,1971,6.177049,,
AGO,1972,6.364731,,
AGO,1973,6.57823,,
AGO,1974,6.802494,,
AGO,1975,7.032713,,
AGO,1976,7.26678,,
AGO,1977,7.511895,,
AGO,1978,7.77159,,
AGO,1979,8.043218,,
AGO,1980,8.330047,,
AGO,1981,8.631457,,-4.400001
AGO,1982,8.947152,,0
AGO,1983,9.276707,,4.200001
AGO,1984,9.617702,,6.000002
AGO,1985,9.970621,,3.5
AGO,1986,10.332574,,2.900002
AGO,1987,10.694057,,4.082748
AGO,1988,11.060261,,6.128891
AGO,1989,11.439498,,.0416215
