xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdmxyzinterpolation,xyzdcxyzsurvname,xyzdmxyzcomparability,xyzdmxyzcomparable_spell,xyzdpxyzsi_pov_gini,xyzdpxyzsi_pov_theil,xyzdcxyzpppyear
AGO,2000,CONS,N,FALSE,HBS,0,2000,.5194515,.545873,2017
AGO,2008,CONS,N,FALSE,IBEP-MICS,1,2008,.4271551,.3330803,2017
AGO,2018,CONS,N,FALSE,IDREA,2,2018,.5126429,.6139762,2017
ALB,2016,INC,N,FALSE,SILC-C,4,2016-2018,.3856557,.2499297,2017
ALB,2017,INC,N,FALSE,SILC-C,4,2016-2018,.3709513,.2306323,2017
ALB,2018,INC,N,FALSE,SILC-C,4,2016-2018,.3598875,.2158758,2017
ARE,2013,INC,N,FALSE,HIES,0,2013-2018,.3251042,,2017
ARE,2018,INC,N,FALSE,HIES,0,2013-2018,.26399,,2017
ARG,1980,INC,U,FALSE,EPH,0,1980-1991,.4083086,,2017
ARG,1986,INC,U,FALSE,EPH,0,1980-1991,.4279751,.3371578,2017
ARG,1987,INC,U,FALSE,EPH,0,1980-1991,.4526729,.3861666,2017
ARG,1991,INC,U,FALSE,EPH,0,1980-1991,.4675427,.4564747,2017
ARG,1992,INC,U,FALSE,EPH,1,1992-1997,.4545484,.3778514,2017
ARG,1993,INC,U,FALSE,EPH,1,1992-1997,.448431,.3660994,2017
ARG,1994,INC,U,FALSE,EPH,1,1992-1997,.4589804,.3884526,2017
ARG,1995,INC,U,FALSE,EPH,1,1992-1997,.488781,.444402,2017
ARG,1996,INC,U,FALSE,EPH,1,1992-1997,.4949052,.4594506,2017
ARG,1997,INC,U,FALSE,EPH,1,1992-1997,.4908524,.4359007,2017
ARG,1998,INC,U,FALSE,EPH,2,1998-2002,.507127,.482431,2017
ARG,1999,INC,U,FALSE,EPH,2,1998-2002,.4976562,.455436,2017
ARG,2000,INC,U,FALSE,EPH,2,1998-2002,.5103796,.4756848,2017
ARG,2001,INC,U,FALSE,EPH,2,1998-2002,.5329304,.5190596,2017
ARG,2002,INC,U,FALSE,EPH,2,1998-2002,.5375955,.5399969,2017
ARG,2003,INC,U,FALSE,EPHC-S2,3,2003-2024,.5099446,.5259646,2017
ARG,2004,INC,U,FALSE,EPHC-S2,3,2003-2024,.4848353,.4244748,2017
ARG,2005,INC,U,FALSE,EPHC-S2,3,2003-2024,.4781029,.4197132,2017
ARG,2006,INC,U,FALSE,EPHC-S2,3,2003-2024,.464445,.4086979,2017
ARG,2007,INC,U,FALSE,EPHC-S2,3,2003-2024,.4628259,.398568,2017
ARG,2008,INC,U,FALSE,EPHC-S2,3,2003-2024,.4498676,.3666852,2017
ARG,2009,INC,U,FALSE,EPHC-S2,3,2003-2024,.4375894,.3347161,2017
ARG,2010,INC,U,FALSE,EPHC-S2,3,2003-2024,.4367656,.3370926,2017
ARG,2011,INC,U,FALSE,EPHC-S2,3,2003-2024,.4273792,.3184621,2017
ARG,2012,INC,U,FALSE,EPHC-S2,3,2003-2024,.4143736,.2954642,2017
ARG,2013,INC,U,FALSE,EPHC-S2,3,2003-2024,.4108646,.2902102,2017
ARG,2014,INC,U,FALSE,EPHC-S2,3,2003-2024,.4182248,.3037223,2017
ARG,2016,INC,U,FALSE,EPHC-S2,3,2003-2024,.4234501,.3157226,2017
ARG,2017,INC,U,FALSE,EPHC-S2,3,2003-2024,.414348,.2954971,2017
ARG,2018,INC,U,FALSE,EPHC-S2,3,2003-2024,.4171897,.3010364,2017
ARG,2019,INC,U,FALSE,EPHC-S2,3,2003-2024,.4331414,.3313826,2017
ARG,2020,INC,U,FALSE,EPHC-S2,3,2003-2024,.4274369,.3144661,2017
ARG,2021,INC,U,FALSE,EPHC-S2,3,2003-2024,.4244556,.335645,2017
ARG,2022,INC,U,FALSE,EPHC-S2,3,2003-2024,.4073646,.2857514,2017
ARG,2023,INC,U,FALSE,EPHC-S2,3,2003-2024,.4239098,.3141899,2017
ARG,2024,INC,U,FALSE,EPHC-S2,3,2003-2024,.4235332,.3113988,2017
ARM,1999,CONS,N,FALSE,ILCS,1,1999-2018,.3621973,.2618624,2017
ARM,2001,CONS,N,FALSE,ILCS,1,1999-2018,.3536436,.2361618,2017
ARM,2002,CONS,N,FALSE,ILCS,1,1999-2018,.3477967,.2379276,2017
ARM,2003,CONS,N,FALSE,ILCS,1,1999-2018,.3302809,.2322956,2017
ARM,2004,CONS,N,FALSE,ILCS,1,1999-2018,.3750563,.3136523,2017
ARM,2005,CONS,N,FALSE,ILCS,1,1999-2018,.3599235,.2842595,2017
ARM,2006,CONS,N,FALSE,ILCS,1,1999-2018,.2970999,.1623417,2017
ARM,2007,CONS,N,FALSE,ILCS,1,1999-2018,.3122606,.1725216,2017
ARM,2008,CONS,N,FALSE,ILCS,1,1999-2018,.2918814,.1542256,2017
ARM,2009,CONS,N,FALSE,ILCS,1,1999-2018,.2801588,.1376237,2017
ARM,2010,CONS,N,FALSE,ILCS,1,1999-2018,.2999258,.1783033,2017
ARM,2011,CONS,N,FALSE,ILCS,1,1999-2018,.2935295,.1574659,2017
ARM,2012,CONS,N,FALSE,ILCS,1,1999-2018,.2960226,.1643002,2017
ARM,2013,CONS,N,FALSE,ILCS,1,1999-2018,.3057966,.1794897,2017
ARM,2014,CONS,N,FALSE,ILCS,1,1999-2018,.3148329,.1873002,2017
ARM,2015,CONS,N,FALSE,ILCS,1,1999-2018,.3235677,.2036405,2017
ARM,2016,CONS,N,FALSE,ILCS,1,1999-2018,.3254795,.2179179,2017
ARM,2017,CONS,N,FALSE,ILCS,1,1999-2018,.3362184,.2486422,2017
ARM,2018,CONS,N,FALSE,ILCS,1,1999-2018,.344335,.2499934,2017
ARM,2019,CONS,N,FALSE,ILCS,2,2019-2024,.3003121,.1830496,2017
ARM,2020,CONS,N,FALSE,ILCS,2,2019-2024,.251316,.113075,2017
ARM,2021,CONS,N,FALSE,ILCS,2,2019-2024,.2794013,.1475941,2017
ARM,2022,CONS,N,FALSE,ILCS,3,2022-2023,.2794529,.1402678,2017
ARM,2023,CONS,N,FALSE,ILCS,3,2022-2023,.2715465,.1350162,2017
ARM,2024,CONS,N,FALSE,ILCS,2,2019-2024,.2744481,.1439364,2017
AUS,1981,INC,N,FALSE,IHS-LIS,0,1981,.3132488,.1630637,2017
AUS,1985,INC,N,FALSE,IDS-LIS,1,1985,.3249747,.1794495,2017
AUS,1989,INC,N,FALSE,SIHCA-LIS,2,1989,.3315313,.1890366,2017
AUS,1995,INC,N,FALSE,SIH-LIS,3,1995-2020,.3257934,.1827286,2017
AUS,2001,INC,N,FALSE,SIH-LIS,3,1995-2020,.3346266,.1927097,2017
AUS,2003,INC,N,FALSE,SIH-LIS,3,1995-2020,.3349779,.1949522,2017
AUS,2004,INC,N,FALSE,SIH-HES-LIS,3,1995-2020,.3305648,.1909956,2017
AUS,2008,INC,N,FALSE,SIH-LIS,3,1995-2020,.3543021,.2315021,2017
AUS,2010,INC,N,FALSE,SIH-HES-LIS,3,1995-2020,.3465798,.2133737,2017
AUS,2014,INC,N,FALSE,SIH-LIS,3,1995-2020,.3440047,.2289244,2017
AUS,2016,INC,N,FALSE,SIH-HES-LIS,3,1995-2020,.3368617,.2047086,2017
AUS,2018,INC,N,FALSE,SIH-LIS,3,1995-2020,.3433474,.2253024,2017
AUS,2020,INC,N,FALSE,SIH-LIS,3,1995-2020,.3383005,.205138,2017
AUT,1994,INC,N,FALSE,ECHP-LIS,1,1994-2000,.3082915,.1675078,2017
AUT,1995,INC,N,FALSE,ECHP-LIS,1,1994-2000,.2991552,.1567059,2017
AUT,1996,INC,N,FALSE,ECHP-LIS,1,1994-2000,.2931878,.1501444,2017
AUT,1997,INC,N,FALSE,ECHP-LIS,1,1994-2000,.2906607,.1439568,2017
AUT,1998,INC,N,FALSE,ECHP-LIS,1,1994-2000,.3134273,.1887686,2017
AUT,1999,INC,N,FALSE,ECHP-LIS,1,1994-2000,.2967112,.1544543,2017
AUT,2000,INC,N,FALSE,ECHP-LIS,1,1994-2000,.2896522,.142859,2017
AUT,2003,INC,N,FALSE,EU-SILC,2,2003-2023,.2946563,.1579175,2017
AUT,2004,INC,N,FALSE,EU-SILC,2,2003-2023,.2978885,.157561,2017
AUT,2005,INC,N,FALSE,EU-SILC,2,2003-2023,.2871521,.1416053,2017
AUT,2006,INC,N,FALSE,EU-SILC,2,2003-2023,.2958756,.1587717,2017
AUT,2007,INC,N,FALSE,EU-SILC,2,2003-2023,.3057945,.1659607,2017
AUT,2008,INC,N,FALSE,EU-SILC,2,2003-2023,.3043709,.1678931,2017
AUT,2009,INC,N,FALSE,EU-SILC,2,2003-2023,.3149491,.1815271,2017
AUT,2010,INC,N,FALSE,EU-SILC,2,2003-2023,.3025166,.1608864,2017
AUT,2011,INC,N,FALSE,EU-SILC,2,2003-2023,.3080106,.1707873,2017
AUT,2012,INC,N,FALSE,EU-SILC,2,2003-2023,.3047562,.1631831,2017
AUT,2013,INC,N,FALSE,EU-SILC,2,2003-2023,.3075291,.178525,2017
AUT,2014,INC,N,FALSE,EU-SILC,2,2003-2023,.3053537,.1742973,2017
AUT,2015,INC,N,FALSE,EU-SILC,2,2003-2023,.3053083,.177928,2017
AUT,2016,INC,N,FALSE,EU-SILC,2,2003-2023,.3079514,.171378,2017
AUT,2017,INC,N,FALSE,EU-SILC,2,2003-2023,.2973693,.1545346,2017
AUT,2018,INC,N,FALSE,EU-SILC,2,2003-2023,.3084742,.1726145,2017
AUT,2019,INC,N,FALSE,EU-SILC,2,2003-2023,.3021052,.1604892,2017
AUT,2020,INC,N,FALSE,EU-SILC,2,2003-2023,.298007,.1573125,2017
AUT,2021,INC,N,FALSE,EU-SILC,2,2003-2023,.3070168,.1772717,2017
