xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
AGO,2008,FALSE,CONS,,,,No education,B40,.567141,2017
AGO,2008,FALSE,CONS,,,,No education,T60,.432859,2017
AGO,2008,FALSE,CONS,,,,Primary education,B40,.3811979,2017
AGO,2008,FALSE,CONS,,,,Primary education,T60,.6188021,2017
AGO,2008,FALSE,CONS,,,,Secondary education,B40,.1342186,2017
AGO,2008,FALSE,CONS,,,,Secondary education,T60,.8657814,2017
AGO,2008,FALSE,CONS,,,,Tertiary education,B40,.0377096,2017
AGO,2008,FALSE,CONS,,,,Tertiary education,T60,.9622904,2017
AGO,2008,FALSE,CONS,,,0-14,,B40,.4503323,2017
AGO,2008,FALSE,CONS,,,0-14,,T60,.5496677,2017
AGO,2008,FALSE,CONS,,,15-64,,B40,.3526498,2017
AGO,2008,FALSE,CONS,,,15-64,,T60,.6473502,2017
AGO,2008,FALSE,CONS,,,>65,,B40,.3493432,2017
AGO,2008,FALSE,CONS,,,>65,,T60,.6506568,2017
AGO,2008,FALSE,CONS,,Female,,,B40,.3935342,2017
AGO,2008,FALSE,CONS,,Female,,,T60,.6064658,2017
AGO,2008,FALSE,CONS,,Male,,,B40,.4069025,2017
AGO,2008,FALSE,CONS,,Male,,,T60,.5930975,2017
AGO,2008,FALSE,CONS,R,,,,B40,.6270132,2017
AGO,2008,FALSE,CONS,R,,,,T60,.3729868,2017
AGO,2008,FALSE,CONS,U,,,,B40,.2127173,2017
AGO,2008,FALSE,CONS,U,,,,T60,.7872827,2017
AGO,2018,FALSE,CONS,,,,No education,B40,.5779687,2017
AGO,2018,FALSE,CONS,,,,No education,T60,.4220313,2017
AGO,2018,FALSE,CONS,,,,Primary education,B40,.4791662,2017
AGO,2018,FALSE,CONS,,,,Primary education,T60,.5208338,2017
AGO,2018,FALSE,CONS,,,,Secondary education,B40,.1906606,2017
AGO,2018,FALSE,CONS,,,,Secondary education,T60,.8093394,2017
AGO,2018,FALSE,CONS,,,,Tertiary education,B40,.0287177,2017
AGO,2018,FALSE,CONS,,,,Tertiary education,T60,.9712823,2017
AGO,2018,FALSE,CONS,,,0-14,,B40,.4580916,2017
AGO,2018,FALSE,CONS,,,0-14,,T60,.5419084,2017
AGO,2018,FALSE,CONS,,,15-64,,B40,.3391451,2017
AGO,2018,FALSE,CONS,,,15-64,,T60,.6608549,2017
AGO,2018,FALSE,CONS,,,>65,,B40,.3489027,2017
AGO,2018,FALSE,CONS,,,>65,,T60,.6510973,2017
AGO,2018,FALSE,CONS,,Female,,,B40,.4045556,2017
AGO,2018,FALSE,CONS,,Female,,,T60,.5954444,2017
AGO,2018,FALSE,CONS,,Male,,,B40,.3931784,2017
AGO,2018,FALSE,CONS,,Male,,,T60,.6068216,2017
AGO,2018,FALSE,CONS,R,,,,B40,.6454613,2017
AGO,2018,FALSE,CONS,R,,,,T60,.3545387,2017
AGO,2018,FALSE,CONS,U,,,,B40,.241871,2017
AGO,2018,FALSE,CONS,U,,,,T60,.758129,2017
ALB,2016,FALSE,INC,,,,No education,B40,.5664312,2017
ALB,2016,FALSE,INC,,,,No education,T60,.4335688,2017
ALB,2016,FALSE,INC,,,,Primary education,B40,.3856764,2017
ALB,2016,FALSE,INC,,,,Primary education,T60,.6143236,2017
ALB,2016,FALSE,INC,,,,Secondary education,B40,.4053874,2017
ALB,2016,FALSE,INC,,,,Secondary education,T60,.5946126,2017
ALB,2016,FALSE,INC,,,,Tertiary education,B40,.1304401,2017
ALB,2016,FALSE,INC,,,,Tertiary education,T60,.8695599,2017
ALB,2016,FALSE,INC,,,0-14,,B40,.5268237,2017
ALB,2016,FALSE,INC,,,0-14,,T60,.4731763,2017
ALB,2016,FALSE,INC,,,15-64,,B40,.3928461,2017
ALB,2016,FALSE,INC,,,15-64,,T60,.6071539,2017
ALB,2016,FALSE,INC,,,>65,,B40,.2606305,2017
ALB,2016,FALSE,INC,,,>65,,T60,.7393695,2017
ALB,2016,FALSE,INC,,Female,,,B40,.4034744,2017
ALB,2016,FALSE,INC,,Female,,,T60,.5965256,2017
ALB,2016,FALSE,INC,,Male,,,B40,.3965888,2017
ALB,2016,FALSE,INC,,Male,,,T60,.6034112,2017
ALB,2017,FALSE,INC,,,,No education,B40,.6039898,2017
ALB,2017,FALSE,INC,,,,No education,T60,.3960102,2017
ALB,2017,FALSE,INC,,,,Primary education,B40,.4350081,2017
ALB,2017,FALSE,INC,,,,Primary education,T60,.5649919,2017
ALB,2017,FALSE,INC,,,,Secondary education,B40,.3999986,2017
ALB,2017,FALSE,INC,,,,Secondary education,T60,.6000014,2017
ALB,2017,FALSE,INC,,,,Tertiary education,B40,.1377498,2017
ALB,2017,FALSE,INC,,,,Tertiary education,T60,.8622501,2017
ALB,2017,FALSE,INC,,,0-14,,B40,.5344447,2017
ALB,2017,FALSE,INC,,,0-14,,T60,.4655553,2017
ALB,2017,FALSE,INC,,,15-64,,B40,.3886406,2017
ALB,2017,FALSE,INC,,,15-64,,T60,.6113594,2017
