xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDCxyzCoverage,xyzDCxyzGender,xyzDCxyzAgeGroup,xyzDCxyzEducation,xyzDCxyzDistribution,xyzDPxyzSI_POV_SHARE_ALL,ppp
AGO,2018,FALSE,CONS,,,0-14,,B40,.4580916,2017
AGO,2018,FALSE,CONS,,,0-14,,T60,.5419084,2017
AGO,2018,FALSE,CONS,,,15-64,,B40,.3391451,2017
AGO,2018,FALSE,CONS,,,15-64,,T60,.6608549,2017
AGO,2018,FALSE,CONS,,,>65,,B40,.3489027,2017
AGO,2018,FALSE,CONS,,,>65,,T60,.6510973,2017
AGO,2018,FALSE,CONS,,,,Primary education,B40,.4791662,2017
AGO,2018,FALSE,CONS,,,,Primary education,T60,.5208338,2017
AGO,2018,FALSE,CONS,,,,Tertiary education,B40,.0287177,2017
AGO,2018,FALSE,CONS,,,,Tertiary education,T60,.9712823,2017
AGO,2018,FALSE,CONS,,,,Secondary education,B40,.1906606,2017
AGO,2018,FALSE,CONS,,,,Secondary education,T60,.8093394,2017
AGO,2018,FALSE,CONS,,,,No education,B40,.5779687,2017
AGO,2018,FALSE,CONS,,,,No education,T60,.4220313,2017
AGO,2018,FALSE,CONS,,Male,,,B40,.3931784,2017
AGO,2018,FALSE,CONS,,Male,,,T60,.6068216,2017
AGO,2018,FALSE,CONS,,Female,,,B40,.4045556,2017
AGO,2018,FALSE,CONS,,Female,,,T60,.5954444,2017
AGO,2018,FALSE,CONS,R,,,,B40,.6454613,2017
AGO,2018,FALSE,CONS,R,,,,T60,.3545387,2017
AGO,2018,FALSE,CONS,U,,,,B40,.241871,2017
AGO,2018,FALSE,CONS,U,,,,T60,.758129,2017
ALB,2018,FALSE,INC,,,0-14,,B40,.5393038,2017
ALB,2018,FALSE,INC,,,0-14,,T60,.4606962,2017
ALB,2018,FALSE,INC,,,15-64,,B40,.3919975,2017
ALB,2018,FALSE,INC,,,15-64,,T60,.6080025,2017
ALB,2018,FALSE,INC,,,>65,,B40,.2731082,2017
ALB,2018,FALSE,INC,,,>65,,T60,.7268918,2017
ALB,2018,FALSE,INC,,Male,,,B40,.3928732,2017
ALB,2018,FALSE,INC,,Male,,,T60,.6071268,2017
ALB,2018,FALSE,INC,,Female,,,B40,.4069632,2017
ALB,2018,FALSE,INC,,Female,,,T60,.5930368,2017
ARG,2022,FALSE,INC,,,0-14,,B40,.6050424,2017
ARG,2022,FALSE,INC,,,0-14,,T60,.3949576,2017
ARG,2022,FALSE,INC,,,15-64,,B40,.3764212,2017
ARG,2022,FALSE,INC,,,15-64,,T60,.6235788,2017
ARG,2022,FALSE,INC,,,>65,,B40,.1295222,2017
ARG,2022,FALSE,INC,,,>65,,T60,.8704778,2017
ARG,2022,FALSE,INC,,,,Primary education,B40,.4088805,2017
ARG,2022,FALSE,INC,,,,Primary education,T60,.5911195,2017
ARG,2022,FALSE,INC,,,,Tertiary education,B40,.177493,2017
ARG,2022,FALSE,INC,,,,Tertiary education,T60,.822507,2017
ARG,2022,FALSE,INC,,,,Secondary education,B40,.4152509,2017
ARG,2022,FALSE,INC,,,,Secondary education,T60,.5847492,2017
ARG,2022,FALSE,INC,,,,No education,B40,.478492,2017
ARG,2022,FALSE,INC,,,,No education,T60,.521508,2017
ARG,2022,FALSE,INC,,Male,,,B40,.3900462,2017
ARG,2022,FALSE,INC,,Male,,,T60,.6099538,2017
ARG,2022,FALSE,INC,,Female,,,B40,.4090831,2017
ARG,2022,FALSE,INC,,Female,,,T60,.5909169,2017
ARG,2022,FALSE,INC,R,,,,B40,,2017
ARG,2022,FALSE,INC,R,,,,T60,,2017
ARG,2022,FALSE,INC,U,,,,B40,.3998334,2017
ARG,2022,FALSE,INC,U,,,,T60,.6001666,2017
ARM,2022,FALSE,CONS,,,0-14,,B40,.5163109,2017
ARM,2022,FALSE,CONS,,,0-14,,T60,.4836891,2017
ARM,2022,FALSE,CONS,,,15-64,,B40,.3920693,2017
ARM,2022,FALSE,CONS,,,15-64,,T60,.6079307,2017
ARM,2022,FALSE,CONS,,,>65,,B40,.3033455,2017
ARM,2022,FALSE,CONS,,,>65,,T60,.6966545,2017
ARM,2022,FALSE,CONS,,,,Primary education,B40,.3905823,2017
ARM,2022,FALSE,CONS,,,,Primary education,T60,.6094177,2017
ARM,2022,FALSE,CONS,,,,Tertiary education,B40,.2869345,2017
ARM,2022,FALSE,CONS,,,,Tertiary education,T60,.7130654,2017
ARM,2022,FALSE,CONS,,,,Secondary education,B40,.4067957,2017
ARM,2022,FALSE,CONS,,,,Secondary education,T60,.5932043,2017
ARM,2022,FALSE,CONS,,,,No education,B40,,2017
ARM,2022,FALSE,CONS,,,,No education,T60,,2017
ARM,2022,FALSE,CONS,,Male,,,B40,.4076425,2017
ARM,2022,FALSE,CONS,,Male,,,T60,.5923576,2017
ARM,2022,FALSE,CONS,,Female,,,B40,.3932845,2017
ARM,2022,FALSE,CONS,,Female,,,T60,.6067155,2017
ARM,2022,FALSE,CONS,R,,,,B40,.46654,2017
ARM,2022,FALSE,CONS,R,,,,T60,.53346,2017
ARM,2022,FALSE,CONS,U,,,,B40,.355318,2017
ARM,2022,FALSE,CONS,U,,,,T60,.644682,2017
BDI,2020,FALSE,CONS,,,0-14,,B40,.4524292,2017
BDI,2020,FALSE,CONS,,,0-14,,T60,.5475708,2017
BDI,2020,FALSE,CONS,,,15-64,,B40,.357462,2017
BDI,2020,FALSE,CONS,,,15-64,,T60,.642538,2017
BDI,2020,FALSE,CONS,,,>65,,B40,.2657842,2017
BDI,2020,FALSE,CONS,,,>65,,T60,.7342159,2017
BDI,2020,FALSE,CONS,,,,Primary education,B40,.3436503,2017
BDI,2020,FALSE,CONS,,,,Primary education,T60,.6563497,2017
BDI,2020,FALSE,CONS,,,,Tertiary education,B40,,2017
BDI,2020,FALSE,CONS,,,,Tertiary education,T60,.9670572,2017
BDI,2020,FALSE,CONS,,,,Secondary education,B40,.3085647,2017
BDI,2020,FALSE,CONS,,,,Secondary education,T60,.6914353,2017
BDI,2020,FALSE,CONS,,,,No education,B40,.4232555,2017
BDI,2020,FALSE,CONS,,,,No education,T60,.5767444,2017
BDI,2020,FALSE,CONS,,Male,,,B40,.3960397,2017
BDI,2020,FALSE,CONS,,Male,,,T60,.6039603,2017
BDI,2020,FALSE,CONS,,Female,,,B40,.4035064,2017
BDI,2020,FALSE,CONS,,Female,,,T60,.5964937,2017
BDI,2020,FALSE,CONS,R,,,,B40,.4290678,2017
BDI,2020,FALSE,CONS,R,,,,T60,.5709322,2017
BDI,2020,FALSE,CONS,U,,,,B40,.1481162,2017
BDI,2020,FALSE,CONS,U,,,,T60,.8518838,2017
BFA,2021,FALSE,CONS,,,0-14,,B40,.4413759,2017
BFA,2021,FALSE,CONS,,,0-14,,T60,.5586241,2017
BFA,2021,FALSE,CONS,,,15-64,,B40,.3598816,2017
BFA,2021,FALSE,CONS,,,15-64,,T60,.6401184,2017
BFA,2021,FALSE,CONS,,,>65,,B40,.4071845,2017
BFA,2021,FALSE,CONS,,,>65,,T60,.5928155,2017
BFA,2021,FALSE,CONS,,,,Primary education,B40,.2881652,2017
BFA,2021,FALSE,CONS,,,,Primary education,T60,.7118348,2017
BFA,2021,FALSE,CONS,,,,Tertiary education,B40,,2017
BFA,2021,FALSE,CONS,,,,Tertiary education,T60,.9903827,2017
BFA,2021,FALSE,CONS,,,,Secondary education,B40,.2082738,2017
BFA,2021,FALSE,CONS,,,,Secondary education,T60,.7917262,2017
BFA,2021,FALSE,CONS,,,,No education,B40,.4520195,2017
BFA,2021,FALSE,CONS,,,,No education,T60,.5479805,2017
BFA,2021,FALSE,CONS,,Male,,,B40,.3986808,2017
BFA,2021,FALSE,CONS,,Male,,,T60,.6013192,2017
BFA,2021,FALSE,CONS,,Female,,,B40,.4011879,2017
BFA,2021,FALSE,CONS,,Female,,,T60,.5988121,2017
BFA,2021,FALSE,CONS,R,,,,B40,.4967446,2017
BFA,2021,FALSE,CONS,R,,,,T60,.5032554,2017
BFA,2021,FALSE,CONS,U,,,,B40,.129336,2017
BFA,2021,FALSE,CONS,U,,,,T60,.870664,2017
BGD,2022,FALSE,CONS,,,0-14,,B40,.4652634,2017
BGD,2022,FALSE,CONS,,,0-14,,T60,.5347366,2017
BGD,2022,FALSE,CONS,,,15-64,,B40,.372316,2017
BGD,2022,FALSE,CONS,,,15-64,,T60,.6276839,2017
BGD,2022,FALSE,CONS,,,>65,,B40,.3969052,2017
BGD,2022,FALSE,CONS,,,>65,,T60,.6030949,2017
BGD,2022,FALSE,CONS,,,,Primary education,B40,.4415895,2017
BGD,2022,FALSE,CONS,,,,Primary education,T60,.5584105,2017
BGD,2022,FALSE,CONS,,,,Tertiary education,B40,.1558031,2017
BGD,2022,FALSE,CONS,,,,Tertiary education,T60,.8441969,2017
BGD,2022,FALSE,CONS,,,,Secondary education,B40,.3220547,2017
BGD,2022,FALSE,CONS,,,,Secondary education,T60,.6779453,2017
BGD,2022,FALSE,CONS,,,,No education,B40,.5055432,2017
BGD,2022,FALSE,CONS,,,,No education,T60,.4944568,2017
BGD,2022,FALSE,CONS,,Male,,,B40,.400899,2017
BGD,2022,FALSE,CONS,,Male,,,T60,.599101,2017
BGD,2022,FALSE,CONS,,Female,,,B40,.3990366,2017
BGD,2022,FALSE,CONS,,Female,,,T60,.6009634,2017
BGD,2022,FALSE,CONS,R,,,,B40,.433331,2017
