xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDPxyzSI_MPM_EDUC,xyzDPxyzSI_MPM_EDUE,xyzDPxyzSI_MPM_ELEC,xyzDPxyzSI_MPM_IMPS,xyzDPxyzSI_MPM_IMPW,xyzDPxyzSI_MPM_POOR,xyzDPxyzSI_MPM_MDHC,survname,survey_coverage,comparable_spell
AUS,2010,FALSE,INC,.0260019,,0,0,,.0047331,.0305821,SIH-HES-LIS,N,2004-2010
AUS,2014,FALSE,INC,.0209397,,0,0,,.0051251,.0259507,SIH-LIS,N,1989-2018
AUS,2016,FALSE,INC,.0158957,,0,0,,.0044882,.0203276,SIH-HES-LIS,N,1989-2018
AUS,2018,FALSE,INC,.0171188,,0,0,,.0051688,.0221577,SIH-LIS,N,1989-2018
DEU,2010,FALSE,INC,.0095073,.0269035,0,0,,.0009203,.0013354,GSOEP-LIS,N,1991-2019
DEU,2011,FALSE,INC,.0089131,.030374,0,0,,.0007231,.0010679,GSOEP-LIS,N,1991-2019
DEU,2012,FALSE,INC,.0140284,.0270137,0,0,,.000593,.0011877,GSOEP-LIS,N,1991-2019
DEU,2013,FALSE,INC,.014993,.0254852,0,0,,.0005214,.0011273,GSOEP-LIS,N,1991-2019
DEU,2014,FALSE,INC,.0160876,.0231677,0,0,,.0008966,.0025643,GSOEP-LIS,N,1991-2019
DEU,2015,FALSE,INC,.0135546,.0213045,0,0,,.0008297,.0009479,GSOEP-LIS,N,1991-2019
DEU,2016,FALSE,INC,.0198899,.2247709,0,0,,.0008928,.006216,GSOEP-LIS,N,1991-2019
DEU,2017,FALSE,INC,.0249626,.0214265,0,0,,.0015563,.0022305,GSOEP-LIS,N,1991-2019
DEU,2018,FALSE,INC,.0225151,.0254822,0,0,,.0008187,.001656,GSOEP-LIS,N,1991-2019
DEU,2019,FALSE,INC,.0185274,.0265945,0,0,,.0009203,.0015112,GSOEP-LIS,N,1991-2019
FJI,2013,FALSE,CONS,.007732,.0143317,.099983,.0323079,.07814349,.0048059,.0070822,HIES,N,2002-2013
FJI,2019,FALSE,CONS,.006493,.0190718,.0452089,.0506945,.12006633,.0184636,.0212974,HIES,N,2019
ISR,2010,FALSE,INC,.0134848,,0,0,,.0028767,.0163615,HES-LIS,N,1979-2021
ISR,2011,FALSE,INC,.0113311,,0,0,,.0020186,.0133497,HES-LIS,N,1979-2021
ISR,2012,FALSE,INC,.0110692,.002775,0,0,,.0054024,.0054024,HES-LIS,N,1979-2021
ISR,2013,FALSE,INC,.0082888,.0010461,0,0,,.0039334,.0039334,HES-LIS,N,1979-2021
ISR,2014,FALSE,INC,.0089536,.00038,0,0,,.0042782,.0042782,HES-LIS,N,1979-2021
ISR,2015,FALSE,INC,.0080608,.00196,0,0,,.0037254,.0037254,HES-LIS,N,1979-2021
ISR,2016,FALSE,INC,.0070472,.000635,0,0,,.0011575,.0011575,HES-LIS,N,1979-2021
ISR,2017,FALSE,INC,.0073805,,0,0,,.0042064,.0114098,HES-LIS,N,1979-2021
ISR,2018,FALSE,INC,.0065291,,0,0,,.002845,.0093741,HES-LIS,N,1979-2021
JPN,2010,FALSE,INC,.0870935,.001612,0,0,,.0011597,.0011597,JHPS-LIS,N,2008-2013
JPN,2013,FALSE,INC,.0882682,.004703,0,0,,.0068736,.0080507,JHPS-LIS,N,2008-2013
KGZ,2015,FALSE,CONS,.0019758,,.0097996,,,.021806,.0265234,KIHS,N,2004-2021
KOR,2010,FALSE,INC,0,,0,0,,.0040788,.0040788,HIES-FHES-LIS,N,2006-2016
KOR,2012,FALSE,INC,0,,0,0,,.0029684,.0029684,HIES-FHES-LIS,N,2006-2016
KOR,2014,FALSE,INC,0,,0,0,,.0022528,.0022528,HIES-FHES-LIS,N,2006-2016
KOR,2016,FALSE,INC,0,,0,0,,.0011402,.0011402,HIES-FHES-LIS,N,2006-2016
TWN,2010,FALSE,INC,.0130223,.0161619,0,0,,.0010469,.0010469,FIDES-LIS,N,1981-2021
TWN,2013,FALSE,INC,.0105017,.014559,0,0,,.0009407,.0009407,FIDES-LIS,N,1981-2021
TWN,2016,FALSE,INC,.0091845,.011605,0,0,,.0004266,.0004266,FIDES-LIS,N,1981-2021
USA,2010,FALSE,INC,.0032352,,0,0,,.0104313,.0135405,CPS-ASEC-LIS,N,2002-2021
USA,2011,FALSE,INC,.0027743,,0,0,,.0098304,.0124693,CPS-ASEC-LIS,N,2002-2021
USA,2012,FALSE,INC,.0029832,,0,0,,.0103132,.013125,CPS-ASEC-LIS,N,2002-2021
USA,2013,FALSE,INC,.0030226,,0,0,,.0097848,.0126265,CPS-ASEC-LIS,N,2002-2021
USA,2014,FALSE,INC,.0029401,,0,0,,.0122587,.0150324,CPS-ASEC-LIS,N,2002-2021
USA,2015,FALSE,INC,.0025651,,0,0,,.0112163,.0137252,CPS-ASEC-LIS,N,2002-2021
USA,2016,FALSE,INC,.0022216,,0,0,,.0108695,.013017,CPS-ASEC-LIS,N,2002-2021
USA,2017,FALSE,INC,.002043,,0,0,,.0119985,.0139055,CPS-ASEC-LIS,N,2002-2021
USA,2018,FALSE,INC,.0019445,,0,0,,.0103598,.012258,CPS-ASEC-LIS,N,2002-2021
USA,2019,FALSE,INC,.0019081,,0,0,,.0093932,.0112207,CPS-ASEC-LIS,N,2002-2021
USA,2020,FALSE,INC,.001758,,0,0,,.003243,.0049651,CPS-ASEC-LIS,N,2002-2021
USA,2021,FALSE,INC,.0025631,,0,0,,.0031445,.0056553,CPS-ASEC-LIS,N,2002-2021
