country,requestyear,welfaretype,survname,coverage,pppyear,venn_d_1,venn_d_2,venn_d_3,venn_d_4,venn_d_5,venn_d_6,venn_d_7,venn_d_8
AGO,2018,CONS,IDREA,N,2021,.25430059,.10483088,.01193294,.09454091,.02190667,.00250421,.02508067,.48490312
ALB,2018,CONS,HBS,N,2021,0,.00452792,0,.00060297,.00558574,0,.00044939,.98883398
ARG,2023,INC,EPHC-S2,O,2021,.00030314,.0003518,.00033062,.00007607,.01058917,7.319e-06,0,.98834188
ARM,2023,CONS,ILCS,N,2021,0,.00157088,.0006148,0,.01709458,0,0,.98071974
AUT,2022,INC,EU-SILC,N,2021,0,0,0,0,.00643974,0,0,.99356026
BDI,2020,CONS,EICVMB,N,2021,.48507521,.25283319,.00162953,.09079696,.00255493,.00092839,.00826641,.15791538
BEL,2022,INC,EU-SILC,N,2021,0,0,0,.00013846,.00020564,0,0,.9996559
BEN,2021,CONS,EHCVM,N,2021,.20785074,.05125748,.00647512,.22347754,.00665081,.00289344,.01220422,.48919064
BFA,2021,CONS,EHCVM,N,2021,.3060777,.05171783,.04988568,.15094323,.01315121,.02363698,.00445652,.40013085
BGD,2022,CONS,HIES,N,2021,.01321442,.02243275,.01225787,.01003769,.03223823,.00364983,.0009752,.905194
BGR,2022,INC,EU-SILC,N,2021,.00018765,.00525908,0,.00333605,.00510195,0,0,.98611527
BLZ,2018,CONS,HBS,N,2021,.00370421,.00353186,.00134964,.01378271,.00177907,.00087639,.00203323,.97294289
BOL,2023,INC,EH,N,2021,.00737798,.01412609,.0009179,.01806679,.00575291,.00121657,.00616722,.94637454
BRA,2023,INC,PNADC-E1,N,2021,.00699984,.01411837,.00447622,.00425355,.01256147,.00018351,.00032747,.95707958
BRB,2016,CONS,BSLC,N,2021,0,.00066479,.0003841,0,.00386562,0,.00167921,.99340628
BTN,2022,CONS,BLSS,N,2021,0,0,.00007752,.00124345,.00005704,.00566273,0,.99295926
BWA,2015,CONS,BMTHS,N,2021,.03827666,.13682469,.00229716,.03762588,.03247107,0,.00849792,.74400661
CHE,2021,INC,EU-SILC,N,2021,0,0,0,0,.00038167,0,0,.99961833
CHL,2022,INC,CASEN,N,2021,.00006488,.00026502,.00058845,.00042548,.00428,.00020312,.00003064,.9941424
CIV,2021,CONS,EHCVM,N,2021,.13861726,.03466799,.02364502,.12329276,.01255304,.01180098,.00316726,.65225569
CMR,2021,CONS,ECAM-V,N,2021,.19902651,.04312542,.01452529,.1403813,.01024077,.01089722,.00900123,.57280226
COD,2020,CONS,EGI-ODD,N,2021,.23677983,.58412607,.00429793,.01559471,.02811695,0,.01062535,.12045916
COG,2011,CONS,ECOM,N,2021,.08278122,.22848708,.0130936,.03277222,.06780691,.00012626,.01955843,.55537429
COL,2023,INC,GEIH,N,2021,.00511111,.01539941,.00794011,.00256564,.04841893,.00077055,.00046259,.91933165
COM,2014,CONS,EESIC,N,2021,.08867125,.18580145,.00627145,.04728844,.03282549,.00040272,.00497173,.63376747
CPV,2015,CONS,IDRF,N,2021,.02020242,.08131519,.00982656,.01752947,.03469662,.00142328,.00492601,.83008046
CRI,2024,INC,ENAHO,N,2021,0,.00125674,.00095166,.00029792,.01062868,.00011087,0,.98675413
CYP,2022,INC,EU-SILC,N,2021,0,0,0,0,.00005104,0,0,.99994896
CZE,2022,INC,EU-SILC,N,2021,0,0,0,0,0,0,0,1
DJI,2017,CONS,EDAM,N,2021,.15355303,.06641996,.01614267,.06521935,.01820487,.0069606,.00268199,.67081754
DNK,2022,INC,EU-SILC,N,2021,0,0,.00090984,0,.00154609,0,0,.99754407
DOM,2023,INC,ECNFT-Q03,N,2021,.00136138,.00145465,.00323141,.0049206,.00667887,.00416265,.00010681,.97808363
ECU,2019,INC,ENEMDU,N,2021,.00377509,.01546683,.00303873,.00344564,.02419851,.00101815,.00033095,.94872609
EGY,2021,CONS,HIECS,N,2021,.00123318,.00093057,.0041414,.00059376,.00743271,.00602451,0,.97964388
ESP,2022,INC,EU-SILC,N,2021,0,0,.00027551,0,.00779223,0,0,.99193226
EST,2022,INC,EU-SILC,N,2021,0,0,0,0,.00498627,0,0,.99501373
ETH,2021,CONS,HCES,N,2021,.24983614,.13498007,.00049276,.19412786,.0011731,.00011436,.09062253,.32865319
FIN,2022,INC,EU-SILC,N,2021,0,0,.00052349,0,.00055494,0,0,.99892158
FJI,2019,CONS,HIES,N,2021,.00096857,.02115361,.00139756,.0011362,.02301098,0,.00154853,.95078455
FRA,2022,INC,EU-SILC,N,2021,0,.00003969,.00001807,.00026772,.00049644,0,0,.99917808
GAB,2017,CONS,EGEP,N,2021,.01544501,.01884733,.00195025,.03435378,.00186585,.00207559,.01866519,.90679699
GEO,2023,CONS,HIS,N,2021,0,.01269742,.00103561,.00027776,.0445339,0,0,.94145532
GHA,2016,CONS,GLSS-VII,N,2021,.13010274,.2405054,.00340065,.03792911,.01624915,0,.01268403,.55912893
GIN,2018,CONS,EHCVM,N,2021,.08675692,.02717498,.00178798,.30094583,.00086416,.00690564,.03655994,.53900455
GMB,2020,CONS,IHS,N,2021,.13467987,.04765984,.02975815,.13125145,.00792102,.02853769,.00989281,.61029916
GNB,2021,CONS,EHCVM,N,2021,.19962217,.12699348,.05013228,.0656215,.02200529,.00234479,.01634507,.51693542
GRC,2022,INC,EU-SILC,N,2021,0,.00040335,.00008789,.00044478,.00583687,0,0,.99322712
GTM,2023,INC,ENCOVI,N,2021,.02500467,.01572437,.0211392,.02261544,.03474126,.01615826,.00126881,.86334799
HND,2023,INC,EPHPM,O,2021,.020066,.02909675,.03867559,.01127822,.08237441,.0118229,.00461073,.80207538
HRV,2022,INC,EU-SILC,N,2021,0,0,.00008206,0,.00390127,0,0,.99601668
HTI,2012,CONS,ECVMAS,N,2021,.16973425,.2219466,.00241791,.07628173,.01005114,.00011826,.05170277,.46774733
HUN,2022,INC,EU-SILC,N,2021,0,0,0,0,.01502827,0,0,.98497173
IDN,2024,CONS,SUSENAS,N,2021,.00266403,.01223504,.00256033,.00183443,.03692173,.00019182,.00042829,.94316433
IRL,2020,INC,EU-SILC,N,2021,0,0,.0000847,0,.00174577,0,0,.99816953
IRN,2022,CONS,HEIS,N,2021,.00096358,.00346026,.00396704,.00030188,.01966219,.00044522,.00001723,.9711826
IRQ,2023,CONS,IHSES,N,2021,.00042061,.00005724,.00304913,.02087993,.00296453,0,0,.97262857
ISL,2018,INC,EU-SILC,N,2021,0,0,0,0,.00268158,0,0,.99731842
ITA,2022,INC,EU-SILC,N,2021,.00001275,.00016491,.0004107,.00019666,.0063785,0,0,.99283649
JAM,2021,CONS,JSLC,N,2021,.0002728,.00508965,.00011681,.00128082,.00627215,0,.0028788,.98408896
JOR,2010,CONS,HEIS,N,2021,0,.00010534,.00019432,.00002154,.00074156,.00211736,0,.99681988
KAZ,2018,CONS,HBS,N,2021,0,0,0,0,.00061133,0,0,.99938867
KEN,2021,CONS,KCHS,N,2021,.025906,.30649314,.00554732,.00265547,.12660694,0,.00891505,.52387607
KGZ,2022,CONS,KIHS,N,2021,0,.0013097,0,0,.04417512,0,0,.95451519
LAO,2018,CONS,LECS,N,2021,.03945418,.05131712,.01507353,.02329379,.05073105,.00431876,.00092227,.81488931
LBN,2022,CONS,LHS,O,2021,.01174906,.02261018,.00852902,.00423167,.0160531,.00190643,.00028216,.93463838
LBR,2016,CONS,HIES,N,2021,.27549001,.05716716,.00235089,.2325273,.00058128,.00292913,.0214301,.40752413
LKA,2019,CONS,HIES,N,2021,.00113972,.00557483,.00173419,.00057675,.0186058,.0006004,.00009251,.97167579
LSO,2017,CONS,CMSHBS,N,2021,.10715438,.26769965,.00368758,.04024285,.0400433,0,.01830807,.52286415
LTU,2022,INC,EU-SILC,N,2021,0,.00200905,0,.000137,.00601357,0,0,.99184038
LUX,2022,INC,EU-SILC,N,2021,0,0,.00005684,0,.00103133,0,0,.99891183
LVA,2022,INC,EU-SILC,N,2021,0,.0007984,0,.0015994,.00347204,0,0,.99413016
MAR,2013,CONS,ENCDM,N,2021,.00841519,.01092778,.0056542,.02741968,.01176151,.00742949,.00464959,.92374256
MDA,2022,CONS,HBS,N,2021,0,.00039553,0,.00060999,0,0,0,.99899448
MDV,2019,CONS,HIES,N,2021,0,0,0,0,0,0,0,1
MEX,2022,INC,ENIGHNS,N,2021,.00270515,.00700295,.00265023,.00304943,.01094563,.00149455,.00042258,.97172948
MKD,2019,INC,SILC-C,N,2021,0,.00553228,.00019053,.0018329,.03376347,0,0,.95868082
MLI,2021,CONS,EHCVM,N,2021,.21899168,.02602585,.10400865,.14512257,.01236156,.05078114,.00312254,.43958601
MLT,2022,INC,EU-SILC,N,2021,0,0,0,0,.00110112,0,0,.99889888
MMR,2017,CONS,MLCS,O,2021,.02701738,.04160087,.00972999,.04012905,.02431404,.00231933,.01654577,.83834356
MNE,2014,CONS,HBS,N,2021,0,0,0,.00013355,0,0,.01182499,.98804146
MNG,2022,CONS,HSES,N,2021,.00038972,.00150366,.00004404,.00880868,.00246083,.00013307,.00005752,.98660247
MOZ,2019,CONS,IOF,N,2021,.44564337,.30465779,.0066239,.02641496,.06545173,.00022092,.01010125,.14088608
MRT,2019,CONS,EPCV,N,2021,.07627848,.00913416,.01311073,.28374663,.00415921,.02001309,.01836134,.57519636
MUS,2017,CONS,HBS,N,2021,.00011176,.00044614,.00072448,.00035905,.00411954,.00017957,.00140637,.9926531
MWI,2019,CONS,IHS-V,N,2021,.44179971,.30243363,.00171447,.04945724,.0084344,0,.00574231,.19041824
MYS,2021,INC,HIS,N,2021,.00002545,.00005984,0,.00263031,.00004553,.00031874,.00003105,.99688908
NAM,2015,CONS,NHIES,N,2021,.06167414,.15092578,.0040982,.0584236,.01171438,.00004375,.04098211,.67213804
NER,2021,CONS,EHCVM,N,2021,.49101913,.10105507,.00687654,.16487986,.00655517,.00490456,.01799653,.20671313
NGA,2018,CONS,LSS,O,2021,.13215601,.15935724,.01196512,.05460689,.03845068,.00036261,.02364372,.57945772
NIC,2014,INC,EMNV,N,2021,.02058266,.031736,.00269866,.07656072,.01068646,.00126489,.03098982,.82548079
NOR,2022,INC,EU-SILC,N,2021,0,0,0,0,.00294946,0,0,.99705054
NPL,2022,CONS,LSS-IV,N,2021,.00749058,.00552779,.00395372,.0135487,.00739106,.00403636,.00183489,.95621691
PAK,2018,CONS,HIES,N,2021,.06843541,.01635672,.0536271,.04905282,.02675754,.02919391,.00112417,.75545234
PAN,2021,INC,EH,N,2021,.0045786,.01408656,.00205732,.00619112,.01228254,.00010398,.00344811,.95725177
PER,2023,INC,ENAHO,N,2021,.00295403,.01890768,.00326084,.00550675,.03366483,.00005922,.0047741,.93087255
PHL,2023,INC,FIES,N,2021,.00550405,.01474731,.00410868,.00609643,.02888896,.00075938,.00179085,.93810434
PNG,2009,CONS,HIES,N,2021,.12484692,.37138725,.0027137,.06130751,.02319522,0,.17018843,.24636098
POL,2019,CONS,HBS,N,2021,0,0,0,0,.00014386,0,0,.99985614
PRT,2022,INC,EU-SILC,N,2021,0,.00008932,.00004783,.00049472,.00214055,0,0,.99722758
PRY,2023,INC,EPHC,N,2021,.00217493,.00876405,.00156706,.00224321,.01305623,.00113735,.00019372,.97086346
PSE,2023,CONS,PECS,N,2021,.00038986,.00315997,.00337033,.00034208,.01206842,.00106984,0,.9795995
ROU,2021,CONS,HBS,N,2021,0,0,0,.0001286,0,0,0,.9998714
RUS,2020,CONS,HBS,N,2021,0,.00015193,.00003339,.00222705,.00023149,0,.04745012,.94990603
RWA,2016,CONS,EICV-V,N,2021,.28960132,.27316908,.02202509,.02888062,.05366005,.00043842,.00416634,.32805908
SDN,2014,CONS,NBHS,N,2021,.05756831,.04253028,.00047304,.2458409,.0004307,.00025609,.13716188,.5157388
SEN,2021,CONS,EHCVM,N,2021,.11536901,.03515274,.02012128,.103363,.00860931,.04002256,.00900679,.66835532
SLB,2012,CONS,HIES,N,2021,.09987576,.27518415,.00201502,.05843474,.02593995,0,.06038966,.47816072
SLE,2018,CONS,SLIHS,N,2021,.14654442,.26328927,.00011752,.07331803,.00482992,.00023878,.09108424,.42057781
SLV,2023,INC,EHPM,N,2021,.0074831,.00426219,.01625299,.00847669,.01837011,.00752305,.00011621,.93751566
SRB,2019,CONS,HBS,N,2021,0,.00045232,.0010316,.00053753,.00088948,.0007751,.00003454,.99627944
STP,2017,CONS,IOF,N,2021,.02150241,.10184023,.00319599,.08736038,.00352254,0,.16203751,.62054095
SUR,2022,CONS,SSLC,N,2021,.00202417,.0085125,.00105658,.00846558,.01018717,0,0,.96975399
SWE,2022,INC,EU-SILC,N,2021,0,0,.00093097,0,.01193169,0,0,.98713734
SWZ,2016,CONS,HIES,N,2021,.05698149,.30653475,.00474428,.01657839,.07686944,.0001822,.01544295,.5226665
SYC,2018,INC,HBS,N,2021,0,0,0,.00036885,.00675887,0,0,.99287228
TCD,2022,CONS,EHCVM,N,2021,.29233419,.10235904,.00006052,.35655242,0,.00041074,.06782104,.18046205
TGO,2021,CONS,EHCVM,N,2021,.18254774,.14747783,.00382131,.08059536,.01276445,.00121188,.01692815,.55465327
THA,2023,CONS,SES,N,2021,0,0,.00002321,.00034298,.00002521,.00082035,0,.99878825
TJK,2015,CONS,HSITAFIEN,N,2021,.02960035,.03904865,.01807668,.00638813,.04657686,.00082928,.00054134,.85893871
TLS,2014,CONS,TLSLS,N,2021,.1475523,.14838493,.03856139,.06149285,.10720552,.00445211,.01056866,.48178225
TON,2021,CONS,HIES,N,2021,0,0,0,0,.00408819,0,0,.99591181
TUN,2021,CONS,NSHBCSL,N,2021,.00029101,.00117791,.00138838,.00009793,.00344948,.00118339,0,.9924119
TUR,2022,INC,SILC-C,N,2021,.00002111,.00083975,.00011528,.00025375,.00431965,0,0,.99445046
TZA,2018,CONS,HBS,N,2021,.18008611,.28429096,.01011554,.05150675,.03891312,.0005962,.02653041,.40796091
UGA,2019,CONS,UNHS,N,2021,.27005881,.26509385,.01966155,.04052267,.04302955,.00018911,.00964555,.35179892
URY,2023,INC,ECH,N,2021,0,.00032032,.00012762,.00003731,.00124595,.00015147,0,.99811733
UZB,2023,INC,HBS,N,2021,0,.00607322,0,0,.03459228,0,0,.95933449
VNM,2022,CONS,VHLSS,N,2021,.00212273,.0041819,.00250443,.00112566,.00722453,.00166331,.00010602,.98107141
