xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
ALB,2008-2012,FALSE,CONS,b40,-1.229654,2017,N,N
ALB,2008-2012,FALSE,CONS,b40,-1.229653,2021,N,N
ALB,2008-2012,FALSE,CONS,tot,-1.323425,2021,N,N
ALB,2008-2012,FALSE,CONS,premium,.0937829,2017,N,N
ALB,2008-2012,FALSE,CONS,m50,-.4790601,2017,N,N
ALB,2008-2012,FALSE,CONS,tot,-1.323437,2017,N,N
ALB,2008-2012,FALSE,CONS,m50,-.4790562,2021,N,N
ALB,2008-2012,FALSE,CONS,premium,.0937721,2021,N,N
ALB,2014-2017,FALSE,CONS,premium,1.844635,2017,N,N
ALB,2014-2017,FALSE,CONS,m50,7.089343,2021,N,N
ALB,2014-2017,FALSE,CONS,tot,6.964616,2017,N,N
ALB,2014-2017,FALSE,CONS,b40,8.809251,2017,N,N
ALB,2014-2017,FALSE,CONS,b40,8.809254,2021,N,N
ALB,2014-2017,FALSE,CONS,m50,7.08935,2017,N,N
ALB,2014-2017,FALSE,CONS,premium,1.84465,2021,N,N
ALB,2014-2017,FALSE,CONS,tot,6.964604,2021,N,N
ALB,2018-2020,FALSE,CONS,m50,1.808099,2017,N,N
ALB,2018-2020,FALSE,CONS,premium,1.59953,2021,N,N
ALB,2018-2020,FALSE,CONS,premium,1.599536,2017,N,N
ALB,2018-2020,FALSE,CONS,b40,3.958532,2021,N,N
ALB,2018-2020,FALSE,CONS,tot,2.359002,2021,N,N
ALB,2018-2020,FALSE,CONS,tot,2.358987,2017,N,N
ALB,2018-2020,FALSE,CONS,b40,3.958524,2017,N,N
ALB,2018-2020,FALSE,CONS,m50,1.808081,2021,N,N
ARG,2006-2011,FALSE,INC,b40,6.459659,2021,U,U
ARG,2006-2011,FALSE,INC,premium,2.784307,2017,U,U
ARG,2006-2011,FALSE,INC,premium,2.784274,2021,U,U
ARG,2006-2011,FALSE,INC,tot,3.675384,2021,U,U
ARG,2006-2011,FALSE,INC,m50,4.839076,2021,U,U
ARG,2006-2011,FALSE,INC,b40,6.459695,2017,U,U
ARG,2006-2011,FALSE,INC,tot,3.675388,2017,U,U
ARG,2006-2011,FALSE,INC,m50,4.839062,2017,U,U
ARG,2007-2012,FALSE,INC,premium,3.308803,2017,U,U
ARG,2007-2012,FALSE,INC,b40,6.157692,2021,U,U
ARG,2007-2012,FALSE,INC,m50,4.43995,2017,U,U
ARG,2007-2012,FALSE,INC,b40,6.157756,2017,U,U
ARG,2007-2012,FALSE,INC,tot,2.848953,2017,U,U
ARG,2007-2012,FALSE,INC,m50,4.439955,2021,U,U
ARG,2007-2012,FALSE,INC,premium,3.30875,2021,U,U
ARG,2007-2012,FALSE,INC,tot,2.848942,2021,U,U
ARG,2009-2014,FALSE,INC,b40,1.77633,2017,U,U
ARG,2009-2014,FALSE,INC,m50,.4564439,2017,U,U
ARG,2009-2014,FALSE,INC,b40,1.776317,2021,U,U
ARG,2009-2014,FALSE,INC,tot,.2798704,2017,U,U
ARG,2009-2014,FALSE,INC,tot,.2798629,2021,U,U
ARG,2009-2014,FALSE,INC,premium,1.496459,2017,U,U
ARG,2009-2014,FALSE,INC,premium,1.496454,2021,U,U
ARG,2009-2014,FALSE,INC,m50,.4564454,2021,U,U
ARG,2011-2016,FALSE,INC,tot,-.8157582,2017,U,U
ARG,2011-2016,FALSE,INC,premium,.2768626,2017,U,U
ARG,2011-2016,FALSE,INC,m50,-.6157848,2017,U,U
ARG,2011-2016,FALSE,INC,b40,-.5388955,2017,U,U
ARG,2011-2016,FALSE,INC,tot,-.8157601,2021,U,U
ARG,2011-2016,FALSE,INC,b40,-.538894,2021,U,U
ARG,2011-2016,FALSE,INC,premium,.2768661,2021,U,U
ARG,2011-2016,FALSE,INC,m50,-.615783,2021,U,U
ARG,2012-2017,FALSE,INC,m50,.1342349,2017,U,U
ARG,2012-2017,FALSE,INC,b40,.4172073,2017,U,U
ARG,2012-2017,FALSE,INC,premium,.1380254,2017,U,U
ARG,2012-2017,FALSE,INC,b40,.4172134,2021,U,U
ARG,2012-2017,FALSE,INC,premium,.1380321,2021,U,U
ARG,2012-2017,FALSE,INC,m50,.1342314,2021,U,U
ARG,2012-2017,FALSE,INC,tot,.2791812,2021,U,U
ARG,2012-2017,FALSE,INC,tot,.2791819,2017,U,U
ARG,2013-2018,FALSE,INC,tot,-1.800482,2021,U,U
ARG,2013-2018,FALSE,INC,tot,-1.800486,2017,U,U
ARG,2013-2018,FALSE,INC,premium,-.2037953,2017,U,U
ARG,2013-2018,FALSE,INC,b40,-2.004282,2017,U,U
ARG,2013-2018,FALSE,INC,premium,-.2037888,2021,U,U
ARG,2013-2018,FALSE,INC,b40,-2.004271,2021,U,U
