xyzDMxyzCountry,xyzDMxyzYearRange,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDCxyzDistribution,xyzDPxyzSI_SPR_PCAP_ZG,xyzDCxyzPPPYear,xyzDMxyzCoverage
ALB,2008-2012,FALSE,CONS,b40,-1.229653,2017,N
ALB,2008-2012,FALSE,CONS,tot,-1.323437,2017,N
ALB,2008-2012,FALSE,CONS,m50,-.4790601,2017,N
ALB,2008-2012,FALSE,CONS,premium,.0937831,2017,N
ALB,2014-2017,FALSE,CONS,b40,8.809251,2017,N
ALB,2014-2017,FALSE,CONS,tot,6.964616,2017,N
ALB,2014-2017,FALSE,CONS,m50,7.08935,2017,N
ALB,2014-2017,FALSE,CONS,premium,1.844635,2017,N
ALB,2018-2020,FALSE,CONS,b40,3.958531,2017,N
ALB,2018-2020,FALSE,CONS,tot,2.358987,2017,N
ALB,2018-2020,FALSE,CONS,m50,1.808099,2017,N
ALB,2018-2020,FALSE,CONS,premium,1.599543,2017,N
ARE,2013-2018,FALSE,INC,b40,7.077361,2017,N
ARE,2013-2018,FALSE,INC,tot,1.844253,2017,N
ARE,2013-2018,FALSE,INC,m50,2.24649,2017,N
ARE,2013-2018,FALSE,INC,premium,5.233108,2017,N
ARG,2006-2011,FALSE,INC,b40,6.460874,2017,U
ARG,2006-2011,FALSE,INC,tot,3.675506,2017,U
ARG,2006-2011,FALSE,INC,m50,4.839062,2017,U
ARG,2006-2011,FALSE,INC,premium,2.785367,2017,U
ARG,2007-2012,FALSE,INC,b40,6.160568,2017,U
ARG,2007-2012,FALSE,INC,tot,2.849267,2017,U
ARG,2007-2012,FALSE,INC,m50,4.43995,2017,U
ARG,2007-2012,FALSE,INC,premium,3.311301,2017,U
ARG,2009-2014,FALSE,INC,b40,1.77715,2017,U
ARG,2009-2014,FALSE,INC,tot,.2799574,2017,U
ARG,2009-2014,FALSE,INC,m50,.4564439,2017,U
ARG,2009-2014,FALSE,INC,premium,1.497192,2017,U
ARG,2011-2016,FALSE,INC,b40,-.5390123,2017,U
ARG,2011-2016,FALSE,INC,tot,-.8157808,2017,U
ARG,2011-2016,FALSE,INC,m50,-.6157848,2017,U
ARG,2011-2016,FALSE,INC,premium,.2767684,2017,U
ARG,2012-2017,FALSE,INC,b40,.4168618,2017,U
ARG,2012-2017,FALSE,INC,tot,.2791291,2017,U
ARG,2012-2017,FALSE,INC,m50,.1342349,2017,U
ARG,2012-2017,FALSE,INC,premium,.1377327,2017,U
ARG,2013-2018,FALSE,INC,b40,-2.003891,2017,U
ARG,2013-2018,FALSE,INC,tot,-1.80042,2017,U
ARG,2013-2018,FALSE,INC,m50,-2.020406,2017,U
ARG,2013-2018,FALSE,INC,premium,-.2034708,2017,U
ARG,2014-2019,FALSE,INC,b40,-1.841336,2017,U
ARG,2014-2019,FALSE,INC,tot,-.9484379,2017,U
ARG,2014-2019,FALSE,INC,m50,-1.208362,2017,U
ARG,2014-2019,FALSE,INC,premium,-.8928982,2017,U
ARG,2016-2020,FALSE,INC,b40,-6.037024,2017,U
ARG,2016-2020,FALSE,INC,tot,-5.378978,2017,U
ARG,2016-2020,FALSE,INC,m50,-5.550451,2017,U
ARG,2016-2020,FALSE,INC,premium,-.6580462,2017,U
ARG,2016-2021,FALSE,INC,b40,-2.440983,2017,U
ARG,2016-2021,FALSE,INC,tot,-2.725475,2017,U
ARG,2016-2021,FALSE,INC,m50,-3.037911,2017,U
ARG,2016-2021,FALSE,INC,premium,.2844925,2017,U
ARG,2017-2022,FALSE,INC,b40,-3.980529,2017,U
ARG,2017-2022,FALSE,INC,tot,-4.709329,2017,U
ARG,2017-2022,FALSE,INC,m50,-4.700187,2017,U
ARG,2017-2022,FALSE,INC,premium,.7288005,2017,U
ARM,2006-2011,FALSE,CONS,b40,1.222107,2017,N
